"artist_id","artist_name"
"3Me35AWHCGqW4sZ7bWWJt1","Xavi"
"66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande"
"45dkTj5sMRSjrmBSBeiHym","Tate McRae"
"2uYWxilOVlUdk4oV9DvwqK","Mitski"
"2LIk90788K0zvyj2JJVwkJ","Jack Harlow"
"1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd"
"250b0Wlc5Vk0CoUsaCY84M","JENNIE"
"1pBLC0qVRTB5zVMuteQ9jJ","Lily-Rose Depp"
"06HL4z0CvFAxyc27GXpf02","Taylor Swift"
"2RQXRUsr4IW1f3mKyKsy4B","Noah Kahan"
"1U1el3k54VvEUzo3ybLPlM","Kali Uchis"
"12GqGscKJx3aE4t07u7eVZ","Peso Pluma"
"1URnnhqYAYcrqrcwql10ft","21 Savage"
"0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott"
"0iEtIxbK0KxaSlF7G42ZOp","Metro Boomin"
"3TVXtAsR1Inumwj472S9r4","Drake"
"3DbwFQlvLxRSi2uX8mf81A","Sexyy Red"
"7tYKF4w9nC0nq9CsPZTHyP","SZA"
"2LRoIwlKmHjgvigdNGBHNo","Feid"
"7jAs1uPnpfNmT6e5qtEPxq","ATL Jacob"
"22wbnEMDvgVIAGdFeek6ET","Benson Boone"
"181bsRPaVXVlUKXrxwZfHK","Megan Thee Stallion"
"7tjVFCxJdwT4NdrTmjyjQ6","Muni Long"
"4oUHIQIBe0LHzYfvXNW4QM","Morgan Wallen"
"0pWR7TsFhvSCnbmHDjWgrE","Creepy Nuts"
"0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj"
"0n4Fao9kbjgM76RmVlfSwr","YG Marley"
"40ZNYROS4zLfyyBSs2PGe2","Zach Bryan"
"70kkdajctXSbqSMJbQO424","Kacey Musgraves"
"2bA6fzP0lMAQ4kz6CF61w8","Toby Keith"
"5YGY8feqx7naU7z4HrwZM6","Miley Cyrus"
"23xFbA9rYgRX8mreqysWPc","BossMan Dlow"
"5K4W6rqBFWDnAN6FQUkS6x","Kanye West"
"7c0XG5cIJTrrAgEC3ULPiq","Ty Dolla $ign"
"23zg3TcAtWQy7J6upgbUnj","USHER"
"7sfl4Xt5KmfyDs2T3SVSMK","Lil Jon"
"3ipn9JLAPI5GUEo4y4jcoi","Ludacris"
"6vWDO969PvNqNYHIOW5v0m","Beyoncé"
"4xPQFgDA5M2xa0ZGo5iIsv","¥$"
"6M2wZ9GZgrQXHCFfjv46we","Dua Lipa"
"33qOK5uJ8AR2xuQQAhHump","Teddy Swims"
